n_spots,rank_by_buffer,plan_id,R,P_fail,CI_95,n_fail,Z1,Z2,Z3,Z4,Z4_mean,selected,selected_by_day,buffers,Tks,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
6,14,S6_buffer_rank14,0.09319999999999995,0.9068,0.00805813949266206,4534,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A3,A5,A10,A9,A8,A7","4.9000,7.3000,7.5000,3.8000,3.7000","4.6000,5.2000,5.0000,8.7000,4.3000",0.0806,0.053,0.0508,0.8004,0.4378
6,15,S6_buffer_rank15,0.06379999999999997,0.9362,0.006774320300901041,4681,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A10,A3,A5,A8,A9,A7","4.5000,7.9000,7.3000,3.8000,3.7000","5.0000,4.6000,5.2000,8.7000,4.3000",0.0878,0.0252,0.0566,0.8644,0.4454
6,16,S6_buffer_rank16,0.06220000000000003,0.9378,0.00669454978704319,4689,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A3,A10,A5,A8,A9,A7","4.9000,7.5000,7.3000,3.8000,3.7000","4.6000,5.0000,5.2000,8.7000,4.3000",0.077,0.0446,0.06,0.8676,0.4456
6,17,S6_buffer_rank17,0.08699999999999997,0.913,0.007812069247004917,4565,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A3,A10,A5,A9,A8,A7","4.9000,7.5000,7.3000,3.8000,3.7000","4.6000,5.0000,5.2000,8.7000,4.3000",0.0792,0.0416,0.0666,0.8046,0.446
6,18,S6_buffer_rank18,0.08699999999999997,0.913,0.007812069247004917,4565,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A10,A3,A5,A9,A8,A7","4.5000,7.9000,7.3000,3.8000,3.7000","5.0000,4.6000,5.2000,8.7000,4.3000",0.0902,0.0272,0.0648,0.8086,0.4402
6,19,S6_buffer_rank19,0.06220000000000003,0.9378,0.00669454978704319,4689,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A10,A5,A3,A8,A9,A7","4.5000,7.3000,7.9000,3.8000,3.7000","5.0000,5.2000,4.6000,8.7000,4.3000",0.0872,0.0542,0.0282,0.8652,0.4462
6,20,S6_buffer_rank20,0.08620000000000005,0.9138,0.007779474811271004,4569,44.4,5.8,2.5623999999999985,3.6999999999999993,5.4399999999999995,"A10,A3,A5,A7,A8,A9","A10,A5,A3,A9,A8,A7","4.5000,7.3000,7.9000,3.8000,3.7000","5.0000,5.2000,4.6000,8.7000,4.3000",0.0908,0.0534,0.025,0.8078,0.4428
7,1,S7_buffer_rank01,0.02859999999999996,0.9714,0.004620118718474664,4857,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A1,A10,A8,A9,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0802,0.0636,0.56,0.8658,0.4404
7,2,S7_buffer_rank02,0.008600000000000052,0.9914,0.002559438815990732,4957,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A8,A9,A10,A1,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0728,0.0584,0.873,0.8558,0.4488
7,3,S7_buffer_rank03,0.040000000000000036,0.96,0.005431711332536002,4800,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A1,A10,A9,A8,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0782,0.0636,0.5632,0.799,0.4494
